"group_id","name","parentGroupName","parentGroupId"
"1950","ITF Italy F7 Doubles (M)","ITF Men","109"
"8907","Volvo China Open 2024","Men","269"
"1709","ITF USA 13A (W)","ITF Women","106"
"1730","ITF USA 13A Doubles (W)","ITF Women","106"
"8907","Volvo China Open 2024","Men","269"
"8907","Volvo China Open 2024","Men","269"
"3995","NCAABB","USA","31"
"30","MLB","USA","31"
"81","NHL","USA","82"
"5850","ITF Japan 05A (W)","ITF Women","106"
"61","NBA","USA","62"
"521","CONCACAF Champions League","International Clubs","66"
"5850","ITF Japan 05A (W)","ITF Women","106"
"2699","ITF Mexico F2 Doubles (M)","ITF Men","109"
"5871","ITF Japan 05A Doubles (W)","ITF Women","106"
"5850","ITF Japan 05A (W)","ITF Women","106"
"3905","TT Elite Series","International","1974"
